index_code,con_code,trade_date,weight,stock_name
399006.SZ,333425.SZ,20250930,1.0823245069776208,创业板股票036
399006.SZ,319301.SZ,20250930,0.9055257368838103,创业板股票037
399006.SZ,360918.SZ,20250930,1.5805694063062212,创业板股票038
399006.SZ,363569.SZ,20250930,1.8949291567135036,创业板股票039
399006.SZ,378834.SZ,20250930,0.5360051384433909,创业板股票040
399006.SZ,332865.SZ,20250930,1.194331526696894,创业板股票041
399006.SZ,372376.SZ,20250930,2.3934096642387663,创业板股票042
399006.SZ,302440.SZ,20250930,2.464198600559063,创业板股票043
399006.SZ,349670.SZ,20250930,1.94013131532784,创业板股票044
399006.SZ,317160.SZ,20250930,1.4550997465231614,创业板股票045
399006.SZ,370346.SZ,20250930,0.49008295241464184,创业板股票046
399006.SZ,358705.SZ,20250930,1.5314371080931803,创业板股票047
399006.SZ,380015.SZ,20250930,0.49418978242537925,创业板股票048
399006.SZ,375434.SZ,20250930,1.8789233482324668,创业板股票049
399006.SZ,362473.SZ,20250930,2.3379986377870856,创业板股票050
399006.SZ,366056.SZ,20250930,2.138695969144011,创业板股票051
399006.SZ,380245.SZ,20250930,1.994784452204044,创业板股票052
399006.SZ,390932.SZ,20250930,2.095771082809358,创业板股票053
399006.SZ,367310.SZ,20250930,2.193314316718558,创业板股票054
399006.SZ,349058.SZ,20250930,2.095038804333639,创业板股票055
399006.SZ,334914.SZ,20250930,1.11198714709945,创业板股票056
399006.SZ,353225.SZ,20250930,1.8411423349686329,创业板股票057
399006.SZ,363102.SZ,20250930,0.5398292500833128,创业板股票058
399006.SZ,335187.SZ,20250930,2.4049191823092846,创业板股票059
399006.SZ,368081.SZ,20250930,2.133552489340169,创业板股票060
399006.SZ,343373.SZ,20250930,0.6962281497324321,创业板股票061
399006.SZ,315918.SZ,20250930,1.1994853826640748,创业板股票062
399006.SZ,366700.SZ,20250930,0.7531158378434999,创业板股票063
399006.SZ,304307.SZ,20250930,0.7253380119083112,创业板股票064
399006.SZ,336895.SZ,20250930,0.6622954525251036,创业板股票065
399006.SZ,359826.SZ,20250930,0.9358772635563823,创业板股票066
399006.SZ,330571.SZ,20250930,0.4277086092069081,创业板股票067
399006.SZ,381951.SZ,20250930,1.6596317695477356,创业板股票068
399006.SZ,391565.SZ,20250930,1.4066003545188226,创业板股票069
399006.SZ,395661.SZ,20250930,1.6482304785384025,创业板股票070
399006.SZ,374292.SZ,20250930,0.7826308152680226,创业板股票071
399006.SZ,340609.SZ,20250930,1.856783394767099,创业板股票072
399006.SZ,356400.SZ,20250930,1.7293800055889583,创业板股票073
399006.SZ,383691.SZ,20250930,0.8352994500850426,创业板股票074
399006.SZ,338514.SZ,20250930,1.7607522231500023,创业板股票075
399006.SZ,310665.SZ,20250930,0.5051385016956356,创业板股票076
399006.SZ,394493.SZ,20250930,1.4724874632550438,创业板股票077
399006.SZ,389361.SZ,20250930,0.9307780729916839,创业板股票078
399006.SZ,386613.SZ,20250930,1.615083434906483,创业板股票079
399006.SZ,355525.SZ,20250930,0.7021646368160664,创业板股票080
399006.SZ,392967.SZ,20250930,1.132592597504795,创业板股票081
399006.SZ,310532.SZ,20250930,2.4806186277369706,创业板股票082
399006.SZ,374675.SZ,20250930,0.6023265597650882,创业板股票083
399006.SZ,373809.SZ,20250930,1.8851169782207335,创业板股票084
399006.SZ,395011.SZ,20250930,0.3527889521061369,创业板股票085
399006.SZ,385972.SZ,20250930,1.639896199717508,创业板股票086
399006.SZ,372750.SZ,20250930,2.1490387693225443,创业板股票087
399006.SZ,305883.SZ,20250930,0.7773345777097176,创业板股票088
399006.SZ,391237.SZ,20250930,1.5159530766339488,创业板股票089
399006.SZ,344747.SZ,20250930,0.3246997669956797,创业板股票090
399006.SZ,342593.SZ,20250930,1.581754229139191,创业板股票091
399006.SZ,331455.SZ,20250930,1.7029907670193078,创业板股票092
399006.SZ,382656.SZ,20250930,1.9997292981791397,创业板股票093
399006.SZ,338019.SZ,20250930,2.396815338702102,创业板股票094
399006.SZ,371068.SZ,20250930,1.3272946821628149,创业板股票095
399006.SZ,324355.SZ,20250930,1.7978104126301881,创业板股票096
399006.SZ,370052.SZ,20250930,1.108889852128023,创业板股票097
399006.SZ,305801.SZ,20250930,0.9331856394908236,创业板股票098
399006.SZ,333698.SZ,20250930,1.7642231770731531,创业板股票099
399006.SZ,302576.SZ,20250930,2.3890027480619107,创业板股票100
